1|04-10-2022|80|TRANSPORT
2|05-10-2022|345.70|GASTRONOMIE
3|08-10-2022|1200|CASA
4|14-10-2022|400.24|TAXE
5|16-10-2022|300.24|GASTRONOMIE
6|20-10-2022|400.69|GASTRONOMIE
7|28-10-2022|300.30|ALTELE
8|01-11-2022|80|TRANSPORT
9|04-11-2022|600.50|GASTRONOMIE
10|10-11-2022|188.60|CASA
11|20-11-2022|300.90|TRANSPORT
12|25-11-2022|100.50|ALTELE
13|02-12-2022|25|TRANSPORT
14|05-12-2022|200|GASTRONOMIE
15|10-12-2022|800|GASTRONOMIE
16|20-12-2022|560.35|CASA
17|27-12-2022|50|TRANSPORT
18|03-01-2023|1234.80|GASTRONOMIE
19|10-01-2023|450|CASA
20|12-01-2023|145.60|ALTELE
21|14-01-2023|380|TAXE
22|15-01-2023|100|TRANSPORT
